2026-04-25 21:44:36 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 助眠
2026-04-25 21:44:36 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 21:44:36 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(40)
2026-04-25 21:44:38 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 21:44:38 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 21:44:38 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 21:44:40 | INFO | smart_aroma.engine.aroma_controller | State phase: paused -> running
2026-04-25 21:44:41 | INFO | smart_aroma.engine.aroma_controller | User action: resume
2026-04-25 21:44:41 | INFO | smart_aroma.api.routes | REST POST /api/resume ok=True
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 21:44:43 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 21:44:43 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 21:44:46 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=提神
2026-04-25 21:44:46 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 21:44:46 | INFO | smart_aroma.api.routes | REST POST /api/start preference=提神 ok=True
2026-04-25 21:44:46 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 21:44:46 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 提神
2026-04-25 21:44:46 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 21:44:46 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(60)
2026-04-25 21:46:46 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(50)
2026-04-25 21:48:46 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(40)
2026-04-25 21:50:46 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 21:50:46 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> completed
2026-04-25 21:50:46 | INFO | smart_aroma.engine.aroma_controller | Sequence completed
2026-04-25 21:50:46 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:19:50 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:19:50 | INFO | smart_aroma.main | SmartAroma backend shutdown
2026-04-25 22:48:07 | INFO | smart_aroma.main | SmartAroma backend started
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=2
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=3
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=4
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=4
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=4
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=通勤提神 persona=松弛老友 duration_level=标准
2026-04-25 22:48:07 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=松弛老友 duration_level=标准 ok=True
2026-04-25 22:48:07 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=通勤提神 persona=松弛老友 duration_level=标准
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=松弛老友 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=松弛老友 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(65)
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=温柔恋人 duration_level=速享 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=2
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=3
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket connected; clients=4
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=睡前安睡 persona=专业调香师 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=睡前安睡 persona=专业调香师 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=专业调香师 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=专业调香师 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=松弛老友 duration_level=沉浸 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=专业调香师 duration_level=标准 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=松弛老友 duration_level=沉浸 ok=False
2026-04-25 22:48:07 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=松弛老友 duration_level=沉浸 ok=False
2026-04-25 22:49:07 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(55)
2026-04-25 22:50:07 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(45)
2026-04-25 22:51:07 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:07 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> completed
2026-04-25 22:51:07 | INFO | smart_aroma.engine.aroma_controller | Sequence completed
2026-04-25 22:51:07 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:51:30 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 22:51:30 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 22:51:32 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=睡前安睡 persona=专业调香师 duration_level=标准
2026-04-25 22:51:32 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:51:32 | INFO | smart_aroma.api.routes | REST POST /api/start scene=睡前安睡 persona=专业调香师 duration_level=标准 ok=True
2026-04-25 22:51:32 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:32 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=睡前安睡 persona=专业调香师 duration_level=标准
2026-04-25 22:51:32 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:51:32 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(40)
2026-04-25 22:51:46 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 22:51:46 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 22:51:46 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:48 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:51:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:54 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=睡前安睡 persona=松弛老友 duration_level=标准
2026-04-25 22:51:54 | INFO | smart_aroma.api.routes | REST POST /api/start scene=睡前安睡 persona=松弛老友 duration_level=标准 ok=True
2026-04-25 22:51:54 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:51:54 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:51:54 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=睡前安睡 persona=松弛老友 duration_level=标准
2026-04-25 22:51:54 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:51:54 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(40)
2026-04-25 22:52:10 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 22:52:10 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 22:52:10 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:11 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:52:11 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:22 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=晨间唤醒 persona=松弛老友 duration_level=标准
2026-04-25 22:52:22 | INFO | smart_aroma.api.routes | REST POST /api/start scene=晨间唤醒 persona=松弛老友 duration_level=标准 ok=True
2026-04-25 22:52:22 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:52:22 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:22 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=晨间唤醒 persona=松弛老友 duration_level=标准
2026-04-25 22:52:22 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:52:22 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(55)
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:35 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:52:35 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:41 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=晨间唤醒 persona=温柔恋人 duration_level=沉浸
2026-04-25 22:52:41 | INFO | smart_aroma.api.routes | REST POST /api/start scene=晨间唤醒 persona=温柔恋人 duration_level=沉浸 ok=True
2026-04-25 22:52:41 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:52:41 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:41 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=晨间唤醒 persona=温柔恋人 duration_level=沉浸
2026-04-25 22:52:41 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:52:41 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(55)
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:48 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:52:48 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=晨间唤醒 persona=温柔恋人 duration_level=速享
2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:52:52 | INFO | smart_aroma.api.routes | REST POST /api/start scene=晨间唤醒 persona=温柔恋人 duration_level=速享 ok=True
2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:52 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=晨间唤醒 persona=温柔恋人 duration_level=速享
2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(55)
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:56 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=通勤提神 persona=温柔恋人 duration_level=速享
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:53:00 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=温柔恋人 duration_level=速享 ok=True
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:00 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=通勤提神 persona=温柔恋人 duration_level=速享
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(65)
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:03 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:00:28 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 23:02:34 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=阅读专注 persona=温柔恋人 duration_level=标准
2026-04-25 23:02:55 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=温柔恋人 duration_level=标准 ok=True
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:02:55 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=阅读专注 persona=温柔恋人 duration_level=标准
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(30)
2026-04-25 23:03:04 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 23:03:04 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 23:03:04 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:05 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:10 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=阅读专注 persona=松弛老友 duration_level=标准
2026-04-25 23:03:10 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 23:03:10 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=松弛老友 duration_level=标准 ok=True
2026-04-25 23:03:10 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:10 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=阅读专注 persona=松弛老友 duration_level=标准
2026-04-25 23:03:10 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 23:03:10 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(30)
2026-04-25 23:03:30 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 23:03:30 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 23:03:30 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:31 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 23:03:31 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
